Generate: 2025-01-02

--------------------------------
Item|Description|Amount
1|Apples|12.50
2|Bananas|8.75
3|Oranges|15.00
4|Grapes|22.30
5|Mangoes|18.40
6|Pineapples|25.00
7|Strawberries|30.20
8|Blueberries|28.10
9|Peaches|16.75
10|Plums|14.60
11|Cherries|35.00
12|Watermelons|50.00
13|Papayas|20.00
14|Kiwis|12.00
15|Lemons|10.50
16|Limes|9.80
17|Coconuts|40.00
18|Avocados|22.50
19|Pears|18.90
20|Raspberries|32.00
21|Blackberries|29.50
22|Cranberries|27.00
23|Figs|19.80
24|Dates|24.00
25|Guavas|15.60
26|Lychees|21.00
27|Dragonfruit|35.50
28|Passionfruit|26.40
29|Starfruit|17.30
30|Pomegranates|33.00
31|Apricots|14.20
32|Nectarines|16.40
33|Tangerines|13.50
34|Cantaloupes|18.70
35|Honeydew Melons|19.50
36|Persimmons|22.80
37|Quinces|12.90
38|Mulberries|28.60
39|Gooseberries|25.30
40|Currants|23.40
41|Kumquats|11.70
42|Clementines|14.80
43|Soursops|30.00
44|Jackfruit|45.00
45|Rambutans|27.50
46|Longans|24.80
47|Sapodillas|20.70
48|Tamarinds|18.20
49|Breadfruit|32.50
50|Custard Apples|28.90
51|Jujubes|15.40
52|Medlars|13.80
53|Loquats|17.60
54|Elderberries|26.90
55|Huckleberries|29.20
56|Boysenberries|31.50
57|Cloudberries|34.00
58|Salak|22.10
59|Marang|25.70
60|Santol|19.30
61|Langsat|21.80
62|Pomelos|30.40
63|Durian|50.00
64|Mangosteen|35.20
65|Ackee|40.00
66|Feijoa|18.90
67|Miracle Fruit|45.00
68|Baobab Fruit|28.40
69|Camu Camu|32.80
70|Jabuticaba|27.60
71|Lucuma|24.50
72|Tamarillo|20.30
73|Atemoya|33.70
74|Cherimoya|36.50
75|Buddha's Hand|42.00
76|Yuzu|38.20
77|Finger Lime|29.80
78|Calamansi|18.40
79|Bilimbi|16.90
80|Indian Gooseberry|22.70
81|Rose Apple|19.80
82|Wax Apple|21.50
83|Snake Fruit|25.00
84|Ice Cream Bean|30.00
85|Monstera Deliciosa|35.00
86|Horned Melon|28.00
87|African Cucumber|26.50
88|Bignay|23.80
89|Cupuacu|31.00
90|Pili Nut|40.00
91|Pineberry|34.50
92|Sea Grape|27.30
93|Noni|22.00
94|Cacao Pod|50.00
95|Coffee Cherry|18.50
96|Saskatoon Berry|29.00
97|Aronia Berry|32.50
98|Chokeberry|24.80
99|Serviceberry|20.60
100|Hawthorn Berry|15.90
